"","estimate","std_err","wald","pval","AdjPvalue"
"Akkermansia",1.12,0.235,4.756,0,0
"Alcaligenes faecalis et rel.",-1.597,0.157,-10.155,0,0
"Allistipes et rel.",1.678,0.177,9.465,0,0
"Anaerostipes caccae et rel.",0.753,0.161,4.681,0,0
"Anaerotruncus colihominis et rel.",1.113,0.172,6.462,0,0
"Anaerovorax odorimutans et rel.",-0.039,0.091,-0.427,0.67,0.966
"Aquabacterium",-0.274,0.141,-1.942,0.052,0.292
"Atopobium",-0.278,0.154,-1.802,0.072,0.387
"Bacillus",-2.486,0.062,-40.158,0,0
"Bacteroides fragilis et rel.",1.461,0.234,6.239,0,0
"Bacteroides intestinalis et rel.",-1.619,0.168,-9.637,0,0
"Bacteroides ovatus et rel.",0.89,0.162,5.489,0,0
"Bacteroides plebeius et rel.",0.263,0.14,1.87,0.062,0.335
"Bacteroides splachnicus et rel.",0.777,0.096,8.057,0,0
"Bacteroides stercoris et rel.",-0.44,0.091,-4.861,0,0
"Bacteroides uniformis et rel.",0.02,0.309,0.066,0.947,0.991
"Bacteroides vulgatus et rel.",2.524,0.223,11.334,0,0
"Bifidobacterium",0.945,0.141,6.7,0,0
"Bilophila et rel.",-2.392,0.091,-26.232,0,0
"Bryantella formatexigens et rel.",1.269,0.112,11.38,0,0
"Bulleidia moorei et rel.",-1.501,0.073,-20.594,0,0
"Burkholderia",-1.182,0.248,-4.774,0,0
"Butyrivibrio crossotus et rel.",2.076,0.11,18.886,0,0
"Campylobacter",-1.197,0.061,-19.589,0,0
"Catenibacterium mitsuokai et rel.",-1.279,0.184,-6.949,0,0
"Clostridium (sensu stricto)",0.624,0.111,5.634,0,0
"Clostridium cellulosi et rel.",2.888,0.218,13.249,0,0
"Clostridium colinum et rel.",0.338,0.167,2.026,0.043,0.248
"Clostridium difficile et rel.",0.529,0.157,3.377,0.001,0.005
"Clostridium leptum et rel.",1.499,0.152,9.871,0,0
"Clostridium nexile et rel.",0.836,0.14,5.955,0,0
"Clostridium orbiscindens et rel.",2.585,0.142,18.189,0,0
"Clostridium ramosum et rel.",-1.747,0.053,-33.08,0,0
"Clostridium sphenoides et rel.",1.495,0.1,14.876,0,0
"Clostridium stercorarium et rel.",-0.995,0.096,-10.42,0,0
"Clostridium symbiosum et rel.",2.379,0.131,18.176,0,0
"Collinsella",-0.605,0.146,-4.138,0,0
"Coprobacillus catenaformis et rel.",-1.47,0.084,-17.398,0,0
"Coprococcus eutactus et rel.",1.42,0.175,8.115,0,0
"Corynebacterium",-2.558,0.05,-51.355,0,0
"Desulfovibrio et rel.",-1.283,0.073,-17.482,0,0
"Dialister",-0.356,0.251,-1.417,0.156,0.666
"Dorea formicigenerans et rel.",1.68,0.134,12.526,0,0
"Eggerthella lenta et rel.",-1.147,0.06,-19.177,0,0
"Enterobacter aerogenes et rel.",-0.163,0.139,-1.172,0.241,0.86
"Enterococcus",-0.783,0.228,-3.438,0.001,0.005
"Escherichia coli et rel.",0.281,0.139,2.024,0.043,0.248
"Eubacterium biforme et rel.",0.495,0.202,2.451,0.014,0.097
